country,country_name,region
AL,Albania,Southern Europe
AD,Andorra,Southern Europe
AM,Armenia,Non-European
AU,Australia,Non-European
AT,Austria,Western Europe
AZ,Azerbaijan,Non-European
BY,Belarus,Eastern Europe
BE,Belgium,Western Europe
BA,Bosnia & Herzegovina,Southern Europe
BG,Bulgaria,Eastern Europe
HR,Croatia,Southern Europe
CY,Cyprus,Southern Europe
CZ,Czechia,Eastern Europe
DK,Denmark,Northern Europe
EE,Estonia,Northern Europe
FI,Finland,Northern Europe
FR,France,Western Europe
GE,Georgia,Non-European
DE,Germany,Western Europe
GR,Greece,Southern Europe
HU,Hungary,Eastern Europe
IS,Iceland,Northern Europe
IE,Ireland,Northern Europe
IL,Israel,Non-European
IT,Italy,Southern Europe
LV,Latvia,Northern Europe
LT,Lithuania,Northern Europe
LU,Luxembourg,Western Europe
MT,Malta,Southern Europe
MD,Moldova,Eastern Europe
MC,Monaco,Western Europe
ME,Montenegro,Southern Europe
MA,Morocco,Non-European
NL,Netherlands,Western Europe
MK,North Macedonia,Southern Europe
NO,Norway,Northern Europe
PL,Poland,Eastern Europe
PT,Portugal,Southern Europe
RO,Romania,Eastern Europe
RU,Russia,Eastern Europe
SM,San Marino,Southern Europe
RS,Serbia,Southern Europe
CS,Serbia and Montenegro,Southern Europe
SK,Slovakia,Eastern Europe
SI,Slovenia,Southern Europe
ES,Spain,Southern Europe
SE,Sweden,Northern Europe
CH,Switzerland,Western Europe
TR,Turkey,Non-European
UA,Ukraine,Eastern Europe
GB,United Kingdom,Northern Europe
YU,Yugoslavia,Southern Europe
